repo,module,language,snapshot_date,class_fqn,loc,cyclomatic_complexity,wmc,dit,noc,cbo,rfc,lcom,fan_in,fan_out,code_smells,num_commits_30d,added_loc_30d,deleted_loc_30d,num_authors_30d,days_since_last_change,bugfix_commits_90d,issues_90d,line_coverage_pct,branch_coverage_pct,mutation_score_pct,tests_failed_30d,flaky_rate,defect_next_30d,defect_count_next_30d,defect_probability_latent
repo_beta,utils,Java,2024-04-10,com.ocp.utils.Class0018,288,4.88,8.55,1,1,0.0,7.24,4.5,2,1,0,6,30,18,2,37,0,0,63.27,50.74,51.7,1,0.0349,0,0,0.00655
repo_beta,integration,Kotlin,2024-06-08,com.ocp.quality.integration.Class0166,173,1.0,1.0,4,1,0.75,20.15,0.0,0,1,0,14,19,24,5,0,3,0,83.73,95.76,,0,0.2304,0,0,0.00976
repo_gamma,service,Java,2025-11-14,com.ocp.platform.service.Class0185,95,1.73,1.0,2,0,0.0,21.87,1.07,0,2,2,4,9,4,0,62,0,0,74.42,67.65,52.57,1,0.0286,0,0,0.00251
repo_gamma,core,Java,2025-09-29,com.ocp.transport.core.Class0056,171,4.24,7.65,2,0,0.0,1.0,3.64,0,0,2,10,24,17,2,72,1,0,76.84,71.06,62.38,1,0.029,0,0,0.00603
repo_alpha,data,Java,2024-06-19,com.ocp.quality.data.Class0095,470,7.51,6.69,3,0,0.0,8.26,5.83,0,1,1,1,7,7,0,129,0,2,79.91,62.22,56.54,1,0.0166,0,0,0.01079
repo_alpha,core,Java,2025-04-11,com.ocp.platform.core.Class0201,1033,11.46,17.48,5,2,2.13,17.31,6.44,1,2,1,3,31,37,0,145,1,2,,60.58,45.93,0,0.0274,0,0,0.0224
repo_alpha,core,Kotlin,2025-09-12,com.ocp.transport.core.Class0109,167,6.86,2.98,5,1,2.96,7.21,2.45,2,2,0,3,8,6,2,52,1,1,75.1,72.38,63.81,3,0.117,0,0,0.00335
repo_beta,integration,Java,2025-01-30,com.ocp.quality.integration.Class0181,400,1.56,1.0,5,2,2.25,6.11,0.0,1,0,2,8,32,23,1,89,1,0,66.66,80.11,31.94,1,0.081,0,0,0.0251
repo_alpha,integration,Java,2025-01-27,com.ocp.quality.integration.Class0203,99,7.24,4.59,4,0,2.44,3.46,0.0,2,1,2,4,2,4,0,57,0,0,62.49,47.05,70.29,2,0.0188,0,0,0.00604
repo_beta,utils,Java,2024-08-11,com.ocp.transport.utils.Class0171,71,1.0,1.0,5,1,0.82,1.0,2.34,0,1,3,7,5,6,1,108,0,2,68.31,48.29,65.83,2,0.1123,0,0,0.00977
repo_alpha,core,Java,2024-10-28,com.ocp.transport.core.Class0075,123,2.96,1.0,5,1,0.0,7.86,0.34,1,1,2,2,2,2,0,0,1,1,74.34,76.16,59.19,1,0.0599,0,0,0.00445
repo_beta,core,Java,2024-10-19,com.ocp.platform.core.Class0036,988,12.64,10.36,6,2,2.72,18.86,6.45,4,4,4,0,19,8,0,163,0,1,49.68,40.46,39.25,1,0.0388,0,0,0.01586
repo_beta,core,Java,2024-09-24,com.ocp.platform.core.Class0036,836,14.08,14.55,3,0,4.07,13.06,3.95,1,3,2,0,9,12,0,85,0,1,53.52,46.84,42.34,2,0.1096,0,0,0.03773
repo_beta,integration,Java,2024-11-12,com.ocp.transport.integration.Class0040,238,2.36,4.71,2,0,3.35,32.32,4.82,2,2,1,4,8,14,0,64,2,0,72.5,73.11,72.78,0,0.0069,0,0,0.00378
repo_alpha,data,Kotlin,2024-02-04,com.ocp.transport.data.Class0200,186,4.15,1.0,5,1,0.0,1.0,0.0,0,0,0,7,11,9,1,50,3,1,75.98,75.81,66.38,2,0.0372,0,0,0.00625
repo_beta,api,Java,2025-08-28,com.ocp.api.Class0126,564,8.41,8.81,4,1,1.57,9.94,1.34,1,1,0,5,32,40,0,0,1,1,51.89,69.13,39.89,2,0.0849,0,0,0.0126
repo_alpha,data,Java,2025-04-24,com.ocp.quality.data.Class0167,108,2.29,4.56,1,0,0.25,10.68,0.0,0,1,1,2,6,10,0,139,0,0,53.09,58.13,36.33,1,0.0792,0,0,0.02783
repo_beta,integration,Java,2024-07-18,com.ocp.integration.Class0061,168,6.44,6.04,6,1,0.48,1.0,0.11,1,0,0,2,8,5,0,153,0,0,99.09,,72.7,0,0.0282,0,0,0.00233
repo_gamma,service,Java,2024-04-25,com.ocp.platform.service.Class0089,107,3.98,1.0,1,1,3.19,10.14,0.0,0,0,0,3,2,4,0,29,0,1,59.01,43.35,35.92,0,0.1082,0,0,0.01941
repo_beta,data,Java,2024-05-19,com.ocp.platform.data.Class0185,349,6.61,5.18,6,1,1.97,1.93,0.94,1,1,2,3,10,7,0,84,1,1,74.86,72.63,71.84,0,0.0657,0,0,0.00827
repo_alpha,utils,Java,2025-06-22,com.ocp.utils.Class0028,156,1.0,2.95,4,2,0.34,24.54,1.73,0,0,2,1,3,4,0,137,0,2,93.72,70.62,71.25,0,0.0032,0,0,0.00182
repo_gamma,service,Java,2024-12-07,com.ocp.platform.service.Class0124,86,2.54,2.23,6,2,0.0,1.0,0.0,3,1,2,5,3,4,0,126,0,1,52.5,38.56,,1,0.2177,0,0,0.00407
repo_alpha,integration,Java,2025-07-15,com.ocp.quality.integration.Class0203,97,4.86,2.4,5,1,0.01,1.0,0.18,0,1,1,1,4,7,0,136,0,0,60.56,57.33,38.81,3,0.0375,0,0,0.01927
repo_alpha,data,Java,2024-05-12,com.ocp.transport.data.Class0043,36,1.48,1.0,5,1,0.0,1.0,1.97,0,1,0,4,3,1,0,64,0,0,64.94,56.92,54.32,0,0.0205,0,0,0.00764
repo_alpha,service,Java,2024-10-12,com.ocp.quality.service.Class0032,286,4.27,6.57,6,1,1.83,23.73,0.0,0,0,4,3,19,15,0,140,2,3,49.79,36.7,15.78,1,0.0284,0,0,0.05068
repo_gamma,core,Java,2025-07-01,com.ocp.platform.core.Class0183,77,2.91,1.31,4,1,0.0,1.0,2.33,4,1,1,13,12,7,1,120,0,1,68.82,68.27,40.14,3,0.4022,0,0,0.00418
repo_gamma,core,Java,2025-03-05,com.ocp.quality.core.Class0153,144,6.1,5.51,6,2,0.0,21.3,0.68,4,0,0,12,10,10,3,81,4,1,80.74,57.88,76.76,1,0.0027,0,0,0.02008
repo_gamma,core,Java,2024-12-04,com.ocp.quality.core.Class0160,176,1.0,2.28,6,2,0.0,17.61,3.87,0,1,1,8,11,15,0,30,0,0,57.08,37.97,39.82,0,0.0087,0,0,0.00977
repo_beta,utils,Java,2025-05-24,com.ocp.utils.Class0039,86,3.54,1.31,3,0,0.0,7.65,1.65,2,2,0,6,3,0,2,63,1,1,69.7,,67.38,2,0.0038,0,1,0.00925
repo_gamma,core,Java,2024-08-25,com.ocp.core.Class0166,617,11.13,15.49,5,1,2.56,14.98,5.31,0,1,1,7,31,30,2,44,0,0,63.05,68.22,9.49,0,0.0634,0,0,0.02257
repo_alpha,service,Java,2024-10-15,com.ocp.transport.service.Class0081,304,4.23,2.21,4,1,0.85,1.0,0.33,0,1,4,9,31,20,2,139,2,0,74.73,,57.67,1,0.1776,0,0,0.00419
repo_alpha,core,Java,2024-07-11,com.ocp.transport.core.Class0176,76,6.13,2.04,6,1,0.0,1.0,3.94,1,1,1,1,1,1,0,57,0,1,70.2,66.57,55.99,1,0.0677,0,0,0.01101
repo_gamma,service,Java,2024-05-16,com.ocp.transport.service.Class0134,201,6.16,2.89,5,2,1.63,13.89,0.93,2,1,0,4,20,23,2,26,1,0,69.82,66.22,56.88,2,0.0233,0,0,0.01115
repo_alpha,utils,Kotlin,2024-05-11,com.ocp.transport.utils.Class0093,377,6.5,8.01,4,1,4.49,22.42,0.0,0,2,3,1,10,7,0,34,0,0,,67.14,,2,0.0244,0,0,0.01366
repo_beta,service,Java,2024-12-20,com.ocp.quality.service.Class0059,338,4.1,1.0,1,0,0.29,10.07,0.0,1,0,1,3,17,12,0,113,0,0,71.35,62.64,46.84,1,0.118,0,0,0.00405
repo_alpha,core,Java,2025-04-25,com.ocp.core.Class0125,109,5.57,1.11,1,0,0.0,1.17,2.06,2,0,0,6,9,13,3,145,0,1,,,60.6,1,0.0231,0,0,0.01215
repo_gamma,service,Java,2024-10-15,com.ocp.service.Class0032,109,3.51,1.0,4,0,2.72,3.22,0.6,1,0,3,5,5,7,1,14,1,2,74.68,86.11,63.76,2,0.0544,0,0,0.00856
repo_beta,core,Kotlin,2025-03-01,com.ocp.transport.core.Class0017,395,5.96,7.71,4,1,2.65,10.88,0.17,1,1,2,0,4,2,0,58,0,0,63.22,37.79,24.39,3,0.2777,0,0,0.00835
repo_beta,api,Java,2024-09-03,com.ocp.transport.api.Class0043,111,1.0,1.86,5,3,0.97,7.56,1.05,1,1,0,8,8,8,1,47,1,1,80.45,75.91,80.92,0,0.1128,0,0,0.02006
repo_gamma,api,Java,2024-04-05,com.ocp.platform.api.Class0214,247,7.58,13.5,5,1,0.0,12.39,0.0,0,0,0,12,36,24,4,147,1,1,74.75,58.82,69.78,2,0.0832,0,0,0.00538
repo_gamma,integration,Java,2025-07-15,com.ocp.platform.integration.Class0028,158,6.15,3.81,3,0,0.0,12.98,1.26,0,1,0,0,8,5,0,8,0,1,73.83,67.87,41.46,0,0.0994,0,0,0.00189
repo_gamma,data,Java,2024-09-06,com.ocp.transport.data.Class0210,313,5.71,2.4,4,0,0.0,3.12,0.88,0,1,1,1,18,10,1,164,0,0,61.58,55.92,62.16,0,,0,0,0.05016
repo_beta,core,Java,2025-07-03,com.ocp.core.Class0200,31,5.18,5.19,4,0,2.51,9.54,1.4,1,3,1,11,2,3,4,124,1,1,74.7,56.87,55.83,2,0.1466,0,0,0.01048
repo_beta,integration,Java,2025-11-03,com.ocp.integration.Class0136,333,7.74,1.33,3,0,0.0,1.0,1.32,1,0,1,6,43,31,0,120,1,2,92.95,79.21,,0,0.0771,0,0,0.01092
repo_beta,data,Java,2024-12-27,com.ocp.transport.data.Class0104,267,5.83,11.9,4,0,1.05,15.11,6.57,1,1,4,6,20,16,5,77,0,2,65.69,54.89,53.11,1,0.0429,0,0,0.01989
repo_beta,utils,Java,2025-03-12,com.ocp.transport.utils.Class0041,337,10.45,13.44,3,0,1.55,25.37,1.42,0,1,0,5,50,42,2,69,0,1,59.48,51.57,56.61,0,0.034,0,0,0.00724
repo_gamma,service,Java,2025-09-13,com.ocp.platform.service.Class0201,146,4.97,5.54,6,1,0.01,10.19,4.05,1,0,2,3,6,2,1,102,0,1,73.65,58.64,58.42,2,0.1659,0,0,0.00456
repo_alpha,api,Java,2024-08-11,com.ocp.api.Class0007,95,3.76,1.0,2,3,0.0,4.81,0.0,1,1,2,1,2,2,0,63,0,1,66.02,60.08,60.76,1,0.0699,0,0,0.01363
repo_gamma,service,Java,2025-10-28,com.ocp.service.Class0122,63,3.87,6.53,4,0,1.24,7.27,0.0,1,0,1,7,6,6,1,143,1,1,,55.04,64.56,0,0.014,0,0,0.0197
repo_beta,api,Kotlin,2025-04-08,com.ocp.api.Class0169,129,6.3,2.3,2,0,0.0,8.84,2.89,1,1,1,3,19,10,0,0,0,0,82.25,72.73,70.0,1,0.0587,0,0,0.01025
repo_gamma,data,Java,2024-01-26,com.ocp.platform.data.Class0101,280,3.21,3.66,3,0,0.0,19.54,3.11,2,0,2,3,16,16,0,147,0,1,73.66,53.29,69.07,1,0.2149,0,0,0.01905
repo_gamma,core,Java,2024-04-23,com.ocp.platform.core.Class0133,108,5.76,6.55,2,0,0.0,8.21,2.08,0,1,0,4,6,5,0,85,0,0,80.46,70.71,74.46,1,0.0931,0,0,0.00534
repo_alpha,service,Java,2025-08-31,com.ocp.quality.service.Class0159,195,7.97,4.55,5,1,1.08,11.81,0.84,1,1,2,6,18,15,1,44,0,2,69.43,64.96,,1,0.1868,0,0,0.01016
repo_alpha,service,Java,2025-10-27,com.ocp.platform.service.Class0207,390,4.64,7.13,1,1,1.0,8.79,0.0,0,2,2,2,15,15,0,14,0,0,78.48,69.56,65.72,0,0.0773,0,0,0.00559
repo_beta,utils,Kotlin,2024-02-21,com.ocp.transport.utils.Class0055,211,1.64,1.0,2,1,0.0,5.08,0.0,1,1,2,2,10,12,0,146,1,1,,66.73,50.69,1,,0,0,0.01233
repo_beta,data,Java,2024-08-20,com.ocp.platform.data.Class0185,395,7.18,9.35,6,1,4.9,31.23,3.87,0,0,3,1,11,11,0,57,0,1,71.92,52.41,48.96,1,0.0073,0,0,0.00896
repo_beta,service,Java,2025-08-19,com.ocp.quality.service.Class0074,115,5.88,10.4,6,2,1.95,16.54,1.96,0,2,1,8,3,2,1,12,2,1,,,84.28,0,0.0888,0,0,0.01797
repo_gamma,core,Java,2025-03-15,com.ocp.platform.core.Class0077,198,4.2,1.0,5,2,0.0,1.0,4.22,3,0,0,5,6,6,0,161,0,0,66.38,54.25,43.58,1,0.0358,1,0,0.00693
repo_beta,utils,Java,2025-04-16,com.ocp.transport.utils.Class0091,133,4.71,1.0,1,0,0.35,5.38,0.0,0,1,2,10,12,16,1,53,1,0,64.05,55.48,59.66,1,0.0338,0,0,0.01066
repo_gamma,core,Java,2025-05-15,com.ocp.core.Class0044,617,10.37,10.63,1,1,0.87,1.32,4.94,0,3,3,3,17,16,0,74,0,1,69.29,51.37,48.32,2,0.1964,0,0,0.007
repo_gamma,api,Java,2025-10-06,com.ocp.transport.api.Class0017,85,3.5,4.38,2,1,1.51,1.0,0.0,1,2,3,3,3,0,1,18,1,1,72.4,54.62,49.01,1,0.1634,0,0,0.00273
repo_beta,service,Java,2024-06-01,com.ocp.service.Class0051,256,7.93,11.24,1,1,0.0,21.26,0.0,0,1,4,3,14,5,0,11,0,2,97.63,99.41,82.87,0,0.0422,0,0,0.01204
repo_beta,core,Java,2024-12-25,com.ocp.transport.core.Class0192,211,5.45,8.4,6,3,1.13,1.0,2.93,1,1,0,6,17,17,0,99,1,1,,76.04,,2,0.0207,0,0,0.0081
repo_alpha,api,Java,2024-09-26,com.ocp.quality.api.Class0141,109,4.16,3.18,3,0,0.31,1.0,3.66,0,0,0,12,11,10,2,60,2,0,66.67,43.74,,0,0.0746,0,0,0.03194
repo_alpha,data,Kotlin,2024-09-23,com.ocp.transport.data.Class0200,193,5.52,1.0,6,1,0.44,5.01,4.06,0,0,0,3,14,10,0,105,1,1,60.84,52.85,55.26,2,0.0105,0,0,0.00884
repo_beta,data,Java,2025-03-30,com.ocp.quality.data.Class0056,417,7.1,7.05,5,1,6.37,2.51,1.39,4,4,1,2,10,8,1,110,0,0,72.65,,57.47,1,0.0808,0,0,0.03027
repo_alpha,utils,Kotlin,2024-07-22,com.ocp.transport.utils.Class0093,392,6.16,9.63,4,0,4.42,27.73,3.88,1,1,0,1,11,10,0,3,0,0,59.12,50.02,34.61,3,0.3446,0,0,0.01265
repo_beta,utils,Kotlin,2025-04-29,com.ocp.utils.Class0195,559,5.1,7.33,1,0,0.78,1.0,1.91,0,0,2,14,73,56,2,127,0,1,79.38,71.93,45.73,2,0.1128,0,0,0.01545
repo_gamma,api,Java,2024-11-26,com.ocp.transport.api.Class0017,85,3.66,1.0,2,0,0.0,1.24,0.0,1,1,0,1,1,4,0,75,0,0,67.14,56.8,,0,0.1012,0,0,0.00728
repo_alpha,core,Java,2025-08-01,com.ocp.quality.core.Class0035,206,1.0,1.7,2,0,5.98,7.87,0.0,1,2,1,0,1,0,0,51,0,0,70.1,48.15,40.99,1,0.1041,0,0,0.03872
repo_gamma,service,Java,2024-04-30,com.ocp.transport.service.Class0012,186,1.8,3.98,2,0,0.0,20.47,2.55,0,0,0,9,27,18,3,36,1,0,80.36,75.43,65.92,1,0.0214,0,0,0.00609
repo_gamma,utils,Kotlin,2025-07-01,com.ocp.platform.utils.Class0013,49,1.0,1.0,3,1,3.92,6.72,5.22,3,2,0,5,3,2,0,134,0,1,,80.31,,1,0.0896,0,0,0.00715
repo_alpha,api,Java,2025-09-02,com.ocp.api.Class0044,312,4.93,7.46,2,2,0.0,10.01,0.56,2,1,0,2,13,8,1,5,0,0,65.52,48.52,67.5,1,0.0551,0,0,0.02235
repo_beta,integration,Java,2025-07-15,com.ocp.platform.integration.Class0092,183,1.0,1.0,3,0,0.0,8.39,1.57,2,0,1,7,15,3,1,147,0,0,70.27,54.13,48.96,0,0.1579,0,0,0.0111
repo_beta,data,Java,2025-04-06,com.ocp.quality.data.Class0071,151,3.44,9.07,1,0,2.3,28.1,2.99,0,1,1,6,8,6,1,67,2,0,76.59,,72.38,0,0.0443,0,0,0.01395
repo_beta,data,Java,2025-10-11,com.ocp.platform.data.Class0127,437,7.06,3.21,1,1,1.47,12.89,1.41,0,2,1,0,8,9,1,37,0,0,57.8,44.33,,1,0.0787,0,0,0.01666
repo_gamma,core,Java,2025-02-12,com.ocp.core.Class0066,330,8.28,8.04,5,1,0.0,7.13,1.86,2,1,1,0,9,10,0,167,0,0,58.98,63.9,54.56,1,0.1394,0,0,0.01404
repo_gamma,api,Java,2024-03-17,com.ocp.platform.api.Class0214,247,7.67,7.33,1,0,3.49,8.13,2.12,0,1,5,13,35,35,1,24,0,0,55.32,49.87,44.76,4,0.2592,0,0,0.02576
repo_gamma,core,Java,2024-10-11,com.ocp.platform.core.Class0053,67,3.65,1.69,2,0,1.78,1.0,0.99,2,1,0,2,1,4,2,130,0,0,,59.43,61.12,1,0.0517,0,0,0.00331
